time,enrolled,available,waitlisted,total
2023-05-25T01:15:05,0,28,0,28
2023-05-25T01:26:41,0,28,0,28
2023-05-25T01:38:17,0,28,0,28
2023-05-25T01:50:01,0,28,0,28
2023-05-25T02:01:37,0,28,0,28
2023-05-25T02:13:13,0,28,0,28
2023-05-25T02:24:49,0,28,0,28
2023-05-25T02:36:22,0,28,0,28
2023-05-25T02:47:56,0,28,0,28
2023-05-25T02:59:29,0,28,0,28
2023-05-25T03:11:05,0,28,0,28
2023-05-25T03:22:44,0,28,0,28
2023-05-25T03:34:42,0,28,0,28
2023-05-25T03:46:18,0,28,0,28
2023-05-25T03:57:53,0,28,0,28
2023-05-25T04:17:16,0,28,0,28
2023-05-25T04:29:17,0,28,0,28
2023-05-25T04:40:53,0,28,0,28
2023-05-25T04:52:29,0,28,0,28
2023-05-25T05:04:05,0,28,0,28
2023-05-25T05:15:42,0,28,0,28
2023-05-25T05:27:18,0,28,0,28
2023-05-25T05:38:55,0,28,0,28
2023-05-25T05:50:31,0,28,0,28
2023-05-25T06:02:08,0,28,0,28
2023-05-25T06:13:43,0,28,0,28
2023-05-25T06:25:18,0,28,0,28
2023-05-25T06:36:53,0,28,0,28
2023-05-25T06:48:28,0,28,0,28
2023-05-25T07:00:03,0,28,0,28
2023-05-25T07:11:39,0,28,0,28
2023-05-25T07:23:13,0,28,0,28
2023-05-25T07:34:47,0,28,0,28
2023-05-25T07:46:24,0,28,0,28
2023-05-25T07:58:00,0,28,0,28
2023-05-25T08:09:34,0,28,0,28
2023-05-25T08:21:18,0,28,0,28
2023-05-25T08:32:53,0,28,0,28
2023-05-25T08:44:25,0,28,0,28
2023-05-25T08:55:57,0,28,0,28
2023-05-25T09:07:31,0,28,0,28
2023-05-25T09:19:04,0,28,0,28
2023-05-25T09:30:37,0,28,0,28
2023-05-25T09:42:09,0,28,0,28
2023-05-25T09:53:42,0,28,0,28
2023-05-25T10:05:15,0,28,0,28
2023-05-25T10:17:00,0,28,0,28
2023-05-25T10:28:33,0,28,0,28
2023-05-25T10:40:06,0,28,0,28
2023-05-25T10:51:38,0,28,0,28
2023-05-25T11:03:21,0,28,0,28
2023-05-25T11:14:53,0,28,0,28
2023-05-25T11:26:26,0,28,0,28
2023-05-25T11:37:59,0,28,0,28
2023-05-25T11:49:32,0,28,0,28
2023-05-25T12:01:16,0,28,0,28
2023-05-25T12:12:49,0,28,0,28
2023-05-25T12:24:22,0,28,0,28
2023-05-25T12:35:54,0,28,0,28
2023-05-25T12:47:27,0,28,0,28
2023-05-25T12:59:11,0,28,0,28
2023-05-25T13:10:43,0,28,0,28
2023-05-25T13:22:16,0,28,0,28
2023-05-25T13:33:49,0,28,0,28
2023-05-25T13:45:22,0,28,0,28
2023-05-25T13:56:56,0,28,0,28
2023-05-25T14:08:40,0,28,0,28
2023-05-25T14:20:14,0,28,0,28
2023-05-25T14:31:47,0,28,0,28
2023-05-25T14:43:20,0,28,0,28
2023-05-25T14:54:53,0,28,0,28
2023-05-25T15:06:37,0,28,0,28
2023-05-25T15:18:12,0,28,0,28
2023-05-25T15:29:46,0,28,0,28
2023-05-25T15:41:21,0,28,0,28
2023-05-25T15:52:55,0,28,0,28
2023-05-25T16:04:30,0,28,0,28
2023-05-25T16:16:15,0,28,0,28
2023-05-25T16:27:50,0,28,0,28
2023-05-25T16:39:25,0,28,0,28
2023-05-25T16:51:01,0,28,0,28
2023-05-25T17:02:37,0,28,0,28
2023-05-25T17:14:25,0,28,0,28
2023-05-25T17:26:00,0,28,0,28
2023-05-25T17:37:35,0,28,0,28
2023-05-25T17:49:11,0,28,0,28
2023-05-25T18:00:47,0,28,0,28
2023-05-25T18:12:24,0,28,0,28
2023-05-25T18:23:59,0,28,0,28
2023-05-25T18:35:45,0,28,0,28
2023-05-25T18:47:20,0,28,0,28
2023-05-25T18:58:56,0,28,0,28
2023-05-25T19:10:32,0,28,0,28
2023-05-25T19:22:08,0,28,0,28
2023-05-25T19:33:44,0,28,0,28
2023-05-25T19:45:20,0,28,0,28
2023-05-25T19:57:05,0,28,0,28
2023-05-25T20:08:41,0,28,0,28
2023-05-25T20:20:17,0,28,0,28
2023-05-25T20:31:53,0,28,0,28
2023-05-25T20:43:29,0,28,0,28
2023-05-25T20:55:04,0,28,0,28
2023-05-25T21:06:40,0,28,0,28
2023-05-25T21:18:16,0,28,0,28
2023-05-25T21:30:03,0,28,0,28
2023-05-25T21:41:39,0,28,0,28
2023-05-25T21:53:14,0,28,0,28
2023-05-25T22:04:50,0,28,0,28
2023-05-25T22:16:25,0,28,0,28
2023-05-25T22:28:00,0,28,0,28
2023-05-25T22:39:36,0,28,0,28
2023-05-25T22:51:22,0,28,0,28
2023-05-25T23:02:59,0,28,0,28
2023-05-25T23:14:36,0,28,0,28
2023-05-25T23:26:12,0,28,0,28
2023-05-25T23:37:48,0,28,0,28
2023-05-25T23:49:24,0,28,0,28
2023-05-26T00:01:01,0,28,0,28
2023-05-26T00:12:58,0,28,0,28
2023-05-26T00:24:38,0,28,0,28
2023-05-26T00:36:17,0,28,0,28
2023-05-26T00:47:55,0,28,0,28
2023-05-26T00:59:34,0,28,0,28
2023-05-26T01:11:14,0,28,0,28
2023-05-26T01:22:52,0,28,0,28
2023-05-26T01:34:30,0,28,0,28
2023-05-26T01:46:18,0,28,0,28
2023-05-26T01:57:57,0,28,0,28
2023-05-26T02:09:38,0,28,0,28
2023-05-26T02:21:15,0,28,0,28
2023-05-26T02:32:53,0,28,0,28
2023-05-26T02:44:42,0,28,0,28
2023-05-26T02:56:22,0,28,0,28
2023-05-26T03:08:02,0,28,0,28
2023-05-26T03:19:43,0,28,0,28
2023-05-26T03:31:22,0,28,0,28
2023-05-26T03:43:00,0,28,0,28
2023-05-26T03:54:39,0,28,0,28
2023-05-26T04:06:27,0,28,0,28
2023-05-26T04:28:26,0,28,0,28
2023-05-26T04:40:30,0,28,0,28
2023-05-26T04:52:11,0,28,0,28
2023-05-26T05:03:52,0,28,0,28
2023-05-26T05:15:33,0,28,0,28
2023-05-26T05:27:11,0,28,0,28
2023-05-26T05:38:50,0,28,0,28
2023-05-26T05:50:29,0,28,0,28
2023-05-26T06:02:08,0,28,0,28
2023-05-26T06:13:47,0,28,0,28
2023-05-26T06:25:26,0,28,0,28
2023-05-26T06:37:04,0,28,0,28
2023-05-26T06:48:43,0,28,0,28
2023-05-26T07:00:21,0,28,0,28
2023-05-26T07:12:00,0,28,0,28
2023-05-26T07:23:38,0,28,0,28
2023-05-26T07:35:24,0,28,0,28
2023-05-26T07:47:01,0,28,0,28
2023-05-26T07:58:38,0,28,0,28
2023-05-26T08:10:14,0,28,0,28
