time,enrolled,available,waitlisted,total
2023-05-25T01:14:10,0,208,0,208
2023-05-25T01:25:46,0,208,0,208
2023-05-25T01:37:21,0,208,0,208
2023-05-25T01:49:06,0,208,0,208
2023-05-25T02:00:41,0,208,0,208
2023-05-25T02:12:17,0,208,0,208
2023-05-25T02:23:54,0,208,0,208
2023-05-25T02:35:27,0,208,0,208
2023-05-25T02:47:01,0,208,0,208
2023-05-25T02:58:34,0,208,0,208
2023-05-25T03:10:09,0,208,0,208
2023-05-25T03:21:48,0,208,0,208
2023-05-25T03:33:46,0,208,0,208
2023-05-25T03:45:22,0,208,0,208
2023-05-25T03:56:58,0,208,0,208
2023-05-25T04:16:20,0,208,0,208
2023-05-25T04:28:21,0,208,0,208
2023-05-25T04:39:58,0,208,0,208
2023-05-25T04:51:34,0,208,0,208
2023-05-25T05:03:10,0,208,0,208
2023-05-25T05:14:47,0,208,0,208
2023-05-25T05:26:23,0,208,0,208
2023-05-25T05:37:59,0,208,0,208
2023-05-25T05:49:35,0,208,0,208
2023-05-25T06:01:12,0,208,0,208
2023-05-25T06:12:48,0,208,0,208
2023-05-25T06:24:23,0,208,0,208
2023-05-25T06:35:57,0,208,0,208
2023-05-25T06:47:33,0,208,0,208
2023-05-25T06:59:08,0,208,0,208
2023-05-25T07:10:44,0,208,0,208
2023-05-25T07:22:18,0,208,0,208
2023-05-25T07:33:52,0,208,0,208
2023-05-25T07:45:29,0,208,0,208
2023-05-25T07:57:04,0,208,0,208
2023-05-25T08:08:39,0,208,0,208
2023-05-25T08:20:13,0,208,0,208
2023-05-25T08:31:58,0,208,0,208
2023-05-25T08:43:30,0,208,0,208
2023-05-25T08:55:02,0,208,0,208
2023-05-25T09:06:36,0,208,0,208
2023-05-25T09:18:09,0,208,0,208
2023-05-25T09:29:42,0,208,0,208
2023-05-25T09:41:14,0,208,0,208
2023-05-25T09:52:47,0,208,0,208
2023-05-25T10:04:20,0,208,0,208
2023-05-25T10:16:05,0,208,0,208
2023-05-25T10:27:38,0,208,0,208
2023-05-25T10:39:10,0,208,0,208
2023-05-25T10:50:43,0,208,0,208
2023-05-25T11:02:26,0,208,0,208
2023-05-25T11:13:58,0,208,0,208
2023-05-25T11:25:31,0,208,0,208
2023-05-25T11:37:04,0,208,0,208
2023-05-25T11:48:37,0,208,0,208
2023-05-25T12:00:21,0,208,0,208
2023-05-25T12:11:54,0,208,0,208
2023-05-25T12:23:27,0,208,0,208
2023-05-25T12:35:00,0,208,0,208
2023-05-25T12:46:32,0,208,0,208
2023-05-25T12:58:05,0,208,0,208
2023-05-25T13:09:48,0,208,0,208
2023-05-25T13:21:21,0,208,0,208
2023-05-25T13:32:54,0,208,0,208
2023-05-25T13:44:27,0,208,0,208
2023-05-25T13:56:01,0,208,0,208
2023-05-25T14:07:45,0,208,0,208
2023-05-25T14:19:19,0,208,0,208
2023-05-25T14:30:52,0,208,0,208
2023-05-25T14:42:25,0,208,0,208
2023-05-25T14:53:58,0,208,0,208
2023-05-25T15:05:42,0,208,0,208
2023-05-25T15:17:16,0,208,0,208
2023-05-25T15:28:51,0,208,0,208
2023-05-25T15:40:25,0,208,0,208
2023-05-25T15:52:00,0,208,0,208
2023-05-25T16:03:35,0,208,0,208
2023-05-25T16:15:20,0,208,0,208
2023-05-25T16:26:55,0,208,0,208
2023-05-25T16:38:30,0,208,0,208
2023-05-25T16:50:06,0,208,0,208
2023-05-25T17:01:41,0,208,0,208
2023-05-25T17:13:18,0,208,0,208
2023-05-25T17:25:05,0,208,0,208
2023-05-25T17:36:40,0,208,0,208
2023-05-25T17:48:16,0,208,0,208
2023-05-25T17:59:52,0,208,0,208
2023-05-25T18:11:29,0,208,0,208
2023-05-25T18:23:04,0,208,0,208
2023-05-25T18:34:40,0,208,0,208
2023-05-25T18:46:25,0,208,0,208
2023-05-25T18:58:01,0,208,0,208
2023-05-25T19:09:37,0,208,0,208
2023-05-25T19:21:13,0,208,0,208
2023-05-25T19:32:49,0,208,0,208
2023-05-25T19:44:25,0,208,0,208
2023-05-25T19:56:11,0,208,0,208
2023-05-25T20:07:46,0,208,0,208
2023-05-25T20:19:22,0,208,0,208
2023-05-25T20:30:58,0,208,0,208
