time,enrolled,available,waitlisted,total
2023-08-29T11:32:17,0,9999,0,9999
2023-08-29T11:45:12,0,9999,0,9999
2023-08-29T11:58:21,0,9999,0,9999
2023-08-29T12:11:24,0,9999,0,9999
2023-08-29T12:24:20,0,9999,0,9999
2023-08-29T12:37:26,0,9999,0,9999
2023-08-29T12:50:22,0,9999,0,9999
2023-08-29T13:03:20,0,9999,0,9999
2023-08-29T13:16:13,0,9999,0,9999
2023-08-29T13:29:18,0,9999,0,9999
2023-08-29T13:42:17,0,9999,0,9999
2023-08-29T13:55:12,0,9999,0,9999
2023-08-29T14:08:19,0,9999,0,9999
2023-08-29T14:21:17,0,9999,0,9999
2023-08-29T14:34:15,0,9999,0,9999
2023-08-29T14:47:22,0,9999,0,9999
2023-08-29T15:00:20,0,9999,0,9999
2023-08-29T15:13:26,0,9999,0,9999
2023-08-29T15:26:20,0,9999,0,9999
2023-08-29T15:39:15,0,9999,0,9999
2023-08-29T15:52:25,0,9999,0,9999
2023-08-29T16:05:26,0,9999,0,9999
2023-08-29T16:18:22,0,9999,0,9999
2023-08-29T16:31:21,0,9999,0,9999
2023-08-29T16:44:29,0,9999,0,9999
2023-08-29T16:57:23,0,9999,0,9999
2023-08-29T17:10:22,0,9999,0,9999
2023-08-29T17:23:32,0,9999,0,9999
2023-08-29T17:36:24,0,9999,0,9999
2023-08-29T17:49:16,0,9999,0,9999
2023-08-29T18:02:34,0,9999,0,9999
2023-08-29T18:15:29,0,9999,0,9999
2023-08-29T18:28:29,0,9999,0,9999
2023-08-29T18:41:28,0,9999,0,9999
2023-08-29T18:54:32,0,9999,0,9999
2023-08-29T19:07:25,0,9999,0,9999
2023-08-29T19:20:19,0,9999,0,9999
2023-08-29T19:33:11,0,9999,0,9999
2023-08-29T19:46:16,0,9999,0,9999
2023-08-29T19:59:07,0,9999,0,9999
2023-08-29T20:12:03,0,9999,0,9999
2023-08-29T20:24:52,0,9999,0,9999
2023-08-29T20:37:51,0,9999,0,9999
2023-08-29T20:50:39,0,9999,0,9999
2023-08-29T21:03:26,0,9999,0,9999
2023-08-29T21:16:13,0,9999,0,9999
2023-08-29T21:29:11,0,9999,0,9999
2023-08-29T21:41:58,0,9999,0,9999
2023-08-29T21:54:45,0,9999,0,9999
2023-08-29T22:07:33,0,9999,0,9999
2023-08-29T22:20:33,0,9999,0,9999
2023-08-29T22:33:20,0,9999,0,9999
2023-08-29T22:46:07,0,9999,0,9999
2023-08-29T22:58:55,0,9999,0,9999
2023-08-29T23:11:44,0,9999,0,9999
2023-08-29T23:24:43,0,9999,0,9999
2023-08-29T23:37:31,0,9999,0,9999
2023-08-29T23:50:19,0,9999,0,9999
