time,enrolled,available,waitlisted,total
2023-05-25T01:18:49,0,30,0,30
2023-05-25T01:30:25,0,30,0,30
2023-05-25T01:42:10,0,30,0,30
2023-05-25T01:53:45,0,30,0,30
2023-05-25T02:05:20,0,30,0,30
2023-05-25T02:16:56,0,30,0,30
2023-05-25T02:28:32,0,30,0,30
2023-05-25T02:40:05,0,30,0,30
2023-05-25T02:51:39,0,30,0,30
2023-05-25T03:03:12,0,30,0,30
2023-05-25T03:14:49,0,30,0,30
2023-05-25T03:26:48,0,30,0,30
2023-05-25T03:38:25,0,30,0,30
2023-05-25T03:50:01,0,30,0,30
2023-05-25T04:01:37,0,30,0,30
2023-05-25T04:21:00,0,30,0,30
2023-05-25T04:33:01,0,30,0,30
2023-05-25T04:44:37,0,30,0,30
2023-05-25T04:56:13,0,30,0,30
2023-05-25T05:07:50,0,30,0,30
2023-05-25T05:19:26,0,30,0,30
2023-05-25T05:31:02,0,30,0,30
2023-05-25T05:42:38,0,30,0,30
2023-05-25T05:54:15,0,30,0,30
2023-05-25T06:05:51,0,30,0,30
2023-05-25T06:17:27,0,30,0,30
2023-05-25T06:29:01,0,30,0,30
2023-05-25T06:40:36,0,30,0,30
2023-05-25T06:52:12,0,30,0,30
2023-05-25T07:03:47,0,30,0,30
2023-05-25T07:15:22,0,30,0,30
2023-05-25T07:26:56,0,30,0,30
2023-05-25T07:38:30,0,30,0,30
2023-05-25T07:50:08,0,30,0,30
2023-05-25T08:01:43,0,30,0,30
2023-05-25T08:13:17,0,30,0,30
2023-05-25T08:25:02,0,30,0,30
2023-05-25T08:36:35,0,30,0,30
2023-05-25T08:48:08,0,30,0,30
2023-05-25T08:59:41,0,30,0,30
2023-05-25T09:11:14,0,30,0,30
2023-05-25T09:22:47,0,30,0,30
2023-05-25T09:34:19,0,30,0,30
2023-05-25T09:45:52,0,30,0,30
2023-05-25T09:57:25,0,30,0,30
2023-05-25T10:09:10,0,30,0,30
2023-05-25T10:20:43,0,30,0,30
2023-05-25T10:32:16,0,30,0,30
