time,enrolled,available,waitlisted,total
2023-05-25T01:17:04,0,50,0,50
2023-05-25T01:28:41,0,50,0,50
2023-05-25T01:40:15,0,50,0,50
2023-05-25T01:52:00,0,50,0,50
2023-05-25T02:03:36,0,50,0,50
2023-05-25T02:15:12,0,50,0,50
2023-05-25T02:26:48,0,50,0,50
2023-05-25T02:38:21,0,50,0,50
2023-05-25T02:49:54,0,50,0,50
2023-05-25T03:01:27,0,50,0,50
2023-05-25T03:13:04,0,50,0,50
2023-05-25T03:25:03,0,50,0,50
2023-05-25T03:36:41,0,50,0,50
2023-05-25T03:48:16,0,50,0,50
2023-05-25T03:59:52,0,50,0,50
2023-05-25T04:19:15,0,50,0,50
2023-05-25T04:31:16,0,50,0,50
2023-05-25T04:42:52,0,50,0,50
2023-05-25T04:54:28,0,50,0,50
2023-05-25T05:06:05,0,50,0,50
2023-05-25T05:17:41,0,50,0,50
2023-05-25T05:29:18,0,50,0,50
2023-05-25T05:40:54,0,50,0,50
2023-05-25T05:52:30,0,50,0,50
2023-05-25T06:04:07,0,50,0,50
2023-05-25T06:15:42,0,50,0,50
2023-05-25T06:27:17,0,50,0,50
2023-05-25T06:38:52,0,50,0,50
2023-05-25T06:50:27,0,50,0,50
2023-05-25T07:02:02,0,50,0,50
2023-05-25T07:13:38,0,50,0,50
2023-05-25T07:25:12,0,50,0,50
2023-05-25T07:36:45,0,50,0,50
2023-05-25T07:48:23,0,50,0,50
2023-05-25T07:59:58,0,50,0,50
2023-05-25T08:11:33,0,50,0,50
2023-05-25T08:23:17,0,50,0,50
2023-05-25T08:34:51,0,50,0,50
2023-05-25T08:46:24,0,50,0,50
2023-05-25T08:57:56,0,50,0,50
2023-05-25T09:09:30,0,50,0,50
2023-05-25T09:21:02,0,50,0,50
2023-05-25T09:32:35,0,50,0,50
2023-05-25T09:44:07,0,50,0,50
2023-05-25T09:55:41,0,50,0,50
2023-05-25T10:07:14,0,50,0,50
2023-05-25T10:18:58,0,50,0,50
2023-05-25T10:30:31,0,50,0,50
2023-05-25T10:42:04,0,50,0,50
2023-05-25T10:53:47,0,50,0,50
2023-05-25T11:05:19,0,50,0,50
2023-05-25T11:16:52,0,50,0,50
2023-05-25T11:28:25,0,50,0,50
2023-05-25T11:39:57,0,50,0,50
2023-05-25T11:51:30,0,50,0,50
2023-05-25T12:03:14,0,50,0,50
2023-05-25T12:14:47,0,50,0,50
2023-05-25T12:26:20,0,50,0,50
2023-05-25T12:37:53,0,50,0,50
2023-05-25T12:49:26,0,50,0,50
2023-05-25T13:01:09,0,50,0,50
2023-05-25T13:12:42,0,50,0,50
2023-05-25T13:24:15,0,50,0,50
2023-05-25T13:35:48,0,50,0,50
2023-05-25T13:47:21,0,50,0,50
