time,enrolled,available,waitlisted,total
2023-05-25T01:18:53,0,28,0,28
2023-05-25T01:30:29,0,28,0,28
2023-05-25T01:42:14,0,28,0,28
2023-05-25T01:53:49,0,28,0,28
2023-05-25T02:05:24,0,28,0,28
2023-05-25T02:17:00,0,28,0,28
2023-05-25T02:28:36,0,28,0,28
2023-05-25T02:40:09,0,28,0,28
2023-05-25T02:51:43,0,28,0,28
2023-05-25T03:03:16,0,28,0,28
2023-05-25T03:14:53,0,28,0,28
2023-05-25T03:26:52,0,28,0,28
2023-05-25T03:38:29,0,28,0,28
2023-05-25T03:50:05,0,28,0,28
2023-05-25T04:01:41,0,28,0,28
2023-05-25T04:21:04,0,28,0,28
2023-05-25T04:33:04,0,28,0,28
2023-05-25T04:44:41,0,28,0,28
2023-05-25T04:56:17,0,28,0,28
2023-05-25T05:07:54,0,28,0,28
2023-05-25T05:19:30,0,28,0,28
2023-05-25T05:31:06,0,28,0,28
2023-05-25T05:42:42,0,28,0,28
2023-05-25T05:54:18,0,28,0,28
2023-05-25T06:05:55,0,28,0,28
2023-05-25T06:17:30,0,28,0,28
2023-05-25T06:29:05,0,28,0,28
2023-05-25T06:40:40,0,28,0,28
2023-05-25T06:52:15,0,28,0,28
2023-05-25T07:03:51,0,28,0,28
2023-05-25T07:15:26,0,28,0,28
2023-05-25T07:27:00,0,28,0,28
2023-05-25T07:38:34,0,28,0,28
2023-05-25T07:50:12,0,28,0,28
2023-05-25T08:01:47,0,28,0,28
2023-05-25T08:13:21,0,28,0,28
2023-05-25T08:25:06,0,28,0,28
2023-05-25T08:36:39,0,28,0,28
2023-05-25T08:48:12,0,28,0,28
2023-05-25T08:59:45,0,28,0,28
2023-05-25T09:11:18,0,28,0,28
2023-05-25T09:22:51,0,28,0,28
2023-05-25T09:34:23,0,28,0,28
2023-05-25T09:45:55,0,28,0,28
2023-05-25T09:57:29,0,28,0,28
2023-05-25T10:09:14,0,28,0,28
2023-05-25T10:20:47,0,28,0,28
2023-05-25T10:32:20,0,28,0,28
2023-05-25T10:43:52,0,28,0,28
2023-05-25T10:55:35,0,28,0,28
2023-05-25T11:07:07,0,28,0,28
2023-05-25T11:18:40,0,28,0,28
2023-05-25T11:30:13,0,28,0,28
2023-05-25T11:41:45,0,28,0,28
2023-05-25T11:53:19,0,28,0,28
2023-05-25T12:05:03,0,28,0,28
2023-05-25T12:16:35,0,28,0,28
2023-05-25T12:28:08,0,28,0,28
2023-05-25T12:39:41,0,28,0,28
2023-05-25T12:51:14,0,28,0,28
2023-05-25T13:02:57,0,28,0,28
2023-05-25T13:14:30,0,28,0,28
2023-05-25T13:26:03,0,28,0,28
2023-05-25T13:37:36,0,28,0,28
2023-05-25T13:49:09,0,28,0,28
2023-05-25T14:00:53,0,28,0,28
2023-05-25T14:12:27,0,28,0,28
2023-05-25T14:24:00,0,28,0,28
2023-05-25T14:35:33,0,28,0,28
2023-05-25T14:47:06,0,28,0,28
2023-05-25T14:58:50,0,28,0,28
2023-05-25T15:10:24,0,28,0,28
2023-05-25T15:21:59,0,28,0,28
2023-05-25T15:33:33,0,28,0,28
2023-05-25T15:45:08,0,28,0,28
2023-05-25T15:56:42,0,28,0,28
2023-05-25T16:08:27,0,28,0,28
2023-05-25T16:20:02,0,28,0,28
2023-05-25T16:31:37,0,28,0,28
2023-05-25T16:43:12,0,28,0,28
2023-05-25T16:54:48,0,28,0,28
2023-05-25T17:06:24,0,28,0,28
2023-05-25T17:18:12,0,28,0,28
2023-05-25T17:29:47,0,28,0,28
2023-05-25T17:41:23,0,28,0,28
2023-05-25T17:52:59,0,28,0,28
2023-05-25T18:04:35,0,28,0,28
2023-05-25T18:16:11,0,28,0,28
2023-05-25T18:27:47,0,28,0,28
2023-05-25T18:39:32,0,28,0,28
2023-05-25T18:51:08,0,28,0,28
2023-05-25T19:02:44,0,28,0,28
2023-05-25T19:14:20,0,28,0,28
2023-05-25T19:25:56,0,28,0,28
2023-05-25T19:37:31,0,28,0,28
2023-05-25T19:49:08,0,28,0,28
2023-05-25T20:00:53,0,28,0,28
2023-05-25T20:12:29,0,28,0,28
2023-05-25T20:24:04,0,28,0,28
2023-05-25T20:35:41,0,28,0,28
2023-05-25T20:47:16,0,28,0,28
2023-05-25T20:58:52,0,28,0,28
2023-05-25T21:10:28,0,28,0,28
2023-05-25T21:22:15,0,28,0,28
2023-05-25T21:33:50,0,28,0,28
2023-05-25T21:45:26,0,28,0,28
2023-05-25T21:57:02,0,28,0,28
2023-05-25T22:08:37,0,28,0,28
2023-05-25T22:20:12,0,28,0,28
2023-05-25T22:31:48,0,28,0,28
2023-05-25T22:43:34,0,28,0,28
2023-05-25T22:55:10,0,28,0,28
2023-05-25T23:06:48,0,28,0,28
2023-05-25T23:18:23,0,28,0,28
2023-05-25T23:29:59,0,28,0,28
2023-05-25T23:41:35,0,28,0,28
2023-05-25T23:53:12,0,28,0,28
2023-05-26T00:05:06,0,28,0,28
2023-05-26T00:16:47,0,28,0,28
2023-05-26T00:28:26,0,28,0,28
2023-05-26T00:40:05,0,28,0,28
2023-05-26T00:51:44,0,28,0,28
2023-05-26T01:03:23,0,28,0,28
2023-05-26T01:15:02,0,28,0,28
2023-05-26T01:26:40,0,28,0,28
2023-05-26T01:38:18,0,28,0,28
2023-05-26T01:50:06,0,28,0,28
2023-05-26T02:01:48,0,28,0,28
2023-05-26T02:13:26,0,28,0,28
2023-05-26T02:25:03,0,28,0,28
2023-05-26T02:36:42,0,28,0,28
2023-05-26T02:48:31,0,28,0,28
2023-05-26T03:00:11,0,28,0,28
2023-05-26T03:11:51,0,28,0,28
2023-05-26T03:23:32,0,28,0,28
2023-05-26T03:35:10,0,28,0,28
2023-05-26T03:46:49,0,28,0,28
2023-05-26T03:58:27,0,28,0,28
2023-05-26T04:10:15,0,28,0,28
2023-05-26T04:32:15,0,28,0,28
2023-05-26T04:44:19,0,28,0,28
2023-05-26T04:56:00,0,28,0,28
2023-05-26T05:07:42,0,28,0,28
2023-05-26T05:19:21,0,28,0,28
2023-05-26T05:31:00,0,28,0,28
2023-05-26T05:42:39,0,28,0,28
2023-05-26T05:54:18,0,28,0,28
2023-05-26T06:05:56,0,28,0,28
2023-05-26T06:17:35,0,28,0,28
2023-05-26T06:29:14,0,28,0,28
2023-05-26T06:40:53,0,28,0,28
2023-05-26T06:52:31,0,28,0,28
2023-05-26T07:04:10,0,28,0,28
2023-05-26T07:15:48,0,28,0,28
2023-05-26T07:27:27,0,28,0,28
2023-05-26T07:39:12,0,28,0,28
2023-05-26T07:50:49,0,28,0,28
2023-05-26T08:02:26,0,28,0,28
2023-05-26T08:14:02,0,28,0,28
2023-05-26T08:25:38,0,28,0,28
2023-05-26T08:37:14,0,28,0,28
2023-05-26T08:48:50,0,28,0,28
2023-05-26T09:00:26,0,28,0,28
2023-05-26T09:12:02,0,28,0,28
2023-05-26T09:23:39,0,28,0,28
2023-05-26T09:35:26,0,28,0,28
2023-05-26T09:47:02,0,28,0,28
2023-05-26T09:58:38,0,28,0,28
2023-05-26T10:10:15,0,28,0,28
2023-05-26T10:21:52,0,28,0,28
2023-05-26T10:33:28,0,28,0,28
2023-05-26T10:45:15,0,28,0,28
2023-05-26T10:56:52,0,28,0,28
2023-05-26T11:08:28,0,28,0,28
2023-05-26T11:20:05,0,28,0,28
2023-05-26T11:31:41,0,28,0,28
2023-05-26T11:43:28,0,28,0,28
2023-05-26T11:55:04,0,28,0,28
2023-05-26T12:06:39,0,28,0,28
2023-05-26T12:18:16,0,28,0,28
2023-05-26T12:29:52,0,28,0,28
2023-05-26T12:41:40,0,28,0,28
2023-05-26T12:53:15,0,28,0,28
2023-05-26T13:04:51,0,28,0,28
2023-05-26T13:16:27,0,28,0,28
2023-05-26T13:28:13,0,28,0,28
2023-05-26T13:39:49,0,28,0,28
2023-05-26T13:51:25,0,28,0,28
2023-05-26T14:03:01,0,28,0,28
2023-05-26T14:14:37,0,28,0,28
2023-05-26T14:26:24,0,28,0,28
2023-05-26T14:38:00,0,28,0,28
2023-05-26T14:49:36,0,28,0,28
2023-05-26T15:01:12,0,28,0,28
2023-05-26T15:12:50,0,28,0,28
2023-05-26T15:24:37,0,28,0,28
2023-05-26T15:36:12,0,28,0,28
2023-05-26T15:47:48,0,28,0,28
2023-05-26T15:59:24,0,28,0,28
2023-05-26T16:11:00,0,28,0,28
2023-05-26T16:22:36,0,28,0,28
2023-05-26T16:34:21,0,28,0,28
2023-05-26T16:45:57,0,28,0,28
2023-05-26T16:57:33,0,28,0,28
2023-05-26T17:09:09,0,28,0,28
2023-05-26T17:20:46,0,28,0,28
2023-05-26T17:32:21,0,28,0,28
2023-05-26T17:44:07,0,28,0,28
2023-05-26T17:55:42,0,28,0,28
2023-05-26T18:07:18,0,28,0,28
2023-05-26T18:18:54,0,28,0,28
2023-05-26T18:30:30,0,28,0,28
2023-05-26T18:42:05,0,28,0,28
2023-05-26T18:53:51,0,28,0,28
2023-05-26T19:05:27,0,28,0,28
2023-05-26T19:17:04,0,28,0,28
2023-05-26T19:28:40,0,28,0,28
2023-05-26T19:40:15,0,28,0,28
2023-05-26T19:51:51,0,28,0,28
2023-05-26T20:03:26,0,28,0,28
2023-05-26T20:15:12,0,28,0,28
2023-05-26T20:26:48,0,28,0,28
2023-05-26T20:38:23,0,28,0,28
2023-05-26T20:49:59,0,28,0,28
2023-05-26T21:01:34,0,28,0,28
2023-05-26T21:13:11,0,28,0,28
2023-05-26T21:24:47,0,28,0,28
2023-05-26T21:36:23,0,28,0,28
2023-05-26T21:48:09,0,28,0,28
2023-05-26T21:59:46,0,28,0,28
2023-05-26T22:11:22,0,28,0,28
2023-05-26T22:22:58,0,28,0,28
2023-05-26T22:34:33,0,28,0,28
2023-05-26T22:46:09,0,28,0,28
2023-05-26T22:57:45,0,28,0,28
2023-05-26T23:09:34,0,28,0,28
2023-05-26T23:21:10,0,28,0,28
2023-05-26T23:32:47,0,28,0,28
2023-05-26T23:44:24,0,28,0,28
2023-05-26T23:56:00,0,28,0,28
2023-05-27T00:07:37,0,28,0,28
2023-05-27T00:19:18,0,28,0,28
2023-05-27T00:30:56,0,28,0,28
2023-05-27T00:42:35,0,28,0,28
2023-05-27T00:54:14,0,28,0,28
2023-05-27T01:05:53,0,28,0,28
2023-05-27T01:17:42,0,28,0,28
2023-05-27T01:29:20,0,28,0,28
2023-05-27T01:40:59,0,28,0,28
2023-05-27T01:52:39,0,28,0,28
2023-05-27T02:04:17,0,28,0,28
2023-05-27T02:15:55,0,28,0,28
2023-05-27T02:27:32,0,28,0,28
2023-05-27T02:39:09,0,28,0,28
2023-05-27T02:50:45,0,28,0,28
2023-05-27T03:02:21,0,28,0,28
2023-05-27T03:13:59,0,28,0,28
2023-05-27T03:25:37,0,28,0,28
2023-05-27T03:37:14,0,28,0,28
2023-05-27T03:48:51,0,28,0,28
2023-05-27T04:00:30,0,28,0,28
2023-05-27T04:12:23,0,28,0,28
2023-05-27T04:33:44,0,28,0,28
2023-05-27T04:46:56,0,28,0,28
2023-05-27T04:58:36,0,28,0,28
2023-05-27T05:10:14,0,28,0,28
2023-05-27T05:21:53,0,28,0,28
2023-05-27T05:33:32,0,28,0,28
2023-05-27T05:45:13,0,28,0,28
2023-05-27T05:56:51,0,28,0,28
2023-05-27T06:08:29,0,28,0,28
2023-05-27T06:20:07,0,28,0,28
2023-05-27T06:31:49,0,28,0,28
2023-05-27T06:43:27,0,28,0,28
2023-05-27T06:55:06,0,28,0,28
2023-05-27T07:06:44,0,28,0,28
2023-05-27T07:18:22,0,28,0,28
2023-05-27T07:30:00,0,28,0,28
2023-05-27T07:41:37,0,28,0,28
2023-05-27T07:53:28,0,28,0,28
2023-05-27T08:05:05,0,28,0,28
2023-05-27T08:16:43,0,28,0,28
2023-05-27T08:28:21,0,28,0,28
2023-05-27T08:39:59,0,28,0,28
2023-05-27T08:51:38,0,28,0,28
2023-05-27T09:03:15,0,28,0,28
2023-05-27T09:14:53,0,28,0,28
2023-05-27T09:26:30,0,28,0,28
2023-05-27T09:38:10,0,28,0,28
2023-05-27T09:49:48,0,28,0,28
2023-05-27T10:01:25,0,28,0,28
2023-05-27T10:13:20,0,28,0,28
2023-05-27T10:24:56,0,28,0,28
2023-05-27T10:36:34,0,28,0,28
2023-05-27T10:48:11,0,28,0,28
2023-05-27T10:59:48,0,28,0,28
2023-05-27T11:11:23,0,28,0,28
2023-05-27T11:22:58,0,28,0,28
2023-05-27T11:34:33,0,28,0,28
2023-05-27T11:46:08,0,28,0,28
2023-05-27T11:57:43,0,28,0,28
2023-05-27T12:09:28,0,28,0,28
2023-05-27T12:21:03,0,28,0,28
2023-05-27T12:32:38,0,28,0,28
2023-05-27T12:44:14,0,28,0,28
2023-05-27T12:55:49,0,28,0,28
2023-05-27T13:07:24,0,28,0,28
2023-05-27T13:18:59,0,28,0,28
2023-05-27T13:30:55,0,28,0,28
2023-05-27T13:42:29,0,28,0,28
2023-05-27T13:54:05,0,28,0,28
2023-05-27T14:05:41,0,28,0,28
2023-05-27T14:17:16,0,28,0,28
2023-05-27T14:28:52,0,28,0,28
2023-05-27T14:40:27,0,28,0,28
2023-05-27T14:52:01,0,28,0,28
2023-05-27T15:03:48,0,28,0,28
2023-05-27T15:15:22,0,28,0,28
2023-05-27T15:26:57,0,28,0,28
2023-05-27T15:38:32,0,28,0,28
2023-05-27T15:50:08,0,28,0,28
2023-05-27T16:01:43,0,28,0,28
2023-05-27T16:13:17,0,28,0,28
2023-05-27T16:24:53,0,28,0,28
2023-05-27T16:36:38,0,28,0,28
2023-05-27T16:48:13,0,28,0,28
2023-05-27T16:59:48,0,28,0,28
2023-05-27T17:11:26,0,28,0,28
2023-05-27T17:23:02,0,28,0,28
2023-05-27T17:34:38,0,28,0,28
2023-05-27T17:46:23,0,28,0,28
2023-05-27T17:57:59,0,28,0,28
2023-05-27T18:09:34,0,28,0,28
2023-05-27T18:21:10,0,28,0,28
2023-05-27T18:32:45,0,28,0,28
2023-05-27T18:44:20,0,28,0,28
2023-05-27T18:55:55,0,28,0,28
2023-05-27T19:07:31,0,28,0,28
2023-05-27T19:19:27,0,28,0,28
2023-05-27T19:31:03,0,28,0,28
2023-05-27T19:42:38,0,28,0,28
2023-05-27T19:54:13,0,28,0,28
2023-05-27T20:05:49,0,28,0,28
2023-05-27T20:17:24,0,28,0,28
2023-05-27T20:28:59,0,28,0,28
2023-05-27T20:40:34,0,28,0,28
2023-05-27T20:52:19,0,28,0,28
2023-05-27T21:03:54,0,28,0,28
2023-05-27T21:15:29,0,28,0,28
2023-05-27T21:27:05,0,28,0,28
2023-05-27T21:38:40,0,28,0,28
2023-05-27T21:50:16,0,28,0,28
2023-05-27T22:01:51,0,28,0,28
2023-05-27T22:13:36,0,28,0,28
2023-05-27T22:25:11,0,28,0,28
2023-05-27T22:36:47,0,28,0,28
2023-05-27T22:48:22,0,28,0,28
2023-05-27T22:59:57,0,28,0,28
2023-05-27T23:11:38,0,28,0,28
2023-05-27T23:23:13,0,28,0,28
2023-05-27T23:34:49,0,28,0,28
2023-05-27T23:46:41,0,28,0,28
2023-05-27T23:58:16,0,28,0,28
2023-05-28T00:09:54,0,28,0,28
2023-05-28T00:21:35,0,28,0,28
2023-05-28T00:33:12,0,28,0,28
2023-05-28T00:44:49,0,28,0,28
2023-05-28T00:56:26,0,28,0,28
2023-05-28T01:08:02,0,28,0,28
2023-05-28T01:19:39,0,28,0,28
2023-05-28T01:31:24,0,28,0,28
2023-05-28T01:43:00,0,28,0,28
2023-05-28T01:54:35,0,28,0,28
2023-05-28T02:06:11,0,28,0,28
2023-05-28T02:17:47,0,28,0,28
2023-05-28T02:29:24,0,28,0,28
2023-05-28T02:41:04,0,28,0,28
2023-05-28T02:52:43,0,28,0,28
2023-05-28T03:04:25,0,28,0,28
2023-05-28T03:16:05,0,28,0,28
2023-05-28T03:27:44,0,28,0,28
2023-05-28T03:39:25,0,28,0,28
2023-05-28T03:52:11,0,28,0,28
2023-05-28T04:04:10,0,28,0,28
2023-05-28T04:15:48,0,28,0,28
2023-05-28T04:29:49,0,28,0,28
2023-05-28T04:43:02,0,28,0,28
2023-05-28T04:54:43,0,28,0,28
2023-05-28T05:06:23,0,28,0,28
2023-05-28T05:18:00,0,28,0,28
2023-05-28T05:29:39,0,28,0,28
2023-05-28T05:41:22,0,28,0,28
2023-05-28T05:53:01,0,28,0,28
2023-05-28T06:04:41,0,28,0,28
2023-05-28T06:16:20,0,28,0,28
2023-05-28T06:27:58,0,28,0,28
2023-05-28T06:39:37,0,28,0,28
2023-05-28T06:51:14,0,28,0,28
2023-05-28T07:02:53,0,28,0,28
2023-05-28T07:14:30,0,28,0,28
2023-05-28T07:26:09,0,28,0,28
2023-05-28T07:37:48,0,28,0,28
2023-05-28T07:49:25,0,28,0,28
2023-05-28T08:01:08,0,28,0,28
2023-05-28T08:12:47,0,28,0,28
2023-05-28T08:24:26,0,28,0,28
2023-05-28T08:36:03,0,28,0,28
2023-05-28T08:47:41,0,28,0,28
2023-05-28T08:59:21,0,28,0,28
2023-05-28T09:10:57,0,28,0,28
2023-05-28T09:22:42,0,28,0,28
2023-05-28T09:34:17,0,28,0,28
2023-05-28T09:45:54,0,28,0,28
2023-05-28T09:57:30,0,28,0,28
2023-05-28T10:09:06,0,28,0,28
2023-05-28T10:20:42,0,28,0,28
2023-05-28T10:32:18,0,28,0,28
2023-05-28T10:43:53,0,28,0,28
2023-05-28T10:55:28,0,28,0,28
2023-05-28T11:07:05,0,28,0,28
2023-05-28T11:18:41,0,28,0,28
2023-05-28T11:30:17,0,28,0,28
2023-05-28T11:41:52,0,28,0,28
2023-05-28T11:53:28,0,28,0,28
2023-05-28T12:05:13,0,28,0,28
2023-05-28T12:16:48,0,28,0,28
2023-05-28T12:28:24,0,28,0,28
2023-05-28T12:40:00,0,28,0,28
2023-05-28T12:51:36,0,28,0,28
2023-05-28T13:03:12,0,28,0,28
2023-05-28T13:14:47,0,28,0,28
2023-05-28T13:26:23,0,28,0,28
2023-05-28T13:37:59,0,28,0,28
2023-05-28T13:49:34,0,28,0,28
2023-05-28T14:01:09,0,28,0,28
2023-05-28T14:12:54,0,28,0,28
2023-05-28T14:24:29,0,28,0,28
2023-05-28T14:36:05,0,28,0,28
2023-05-28T14:47:40,0,28,0,28
2023-05-28T14:59:15,0,28,0,28
2023-05-28T15:10:51,0,28,0,28
2023-05-28T15:22:28,0,28,0,28
2023-05-28T15:34:03,0,28,0,28
2023-05-28T15:45:38,0,28,0,28
2023-05-28T15:57:14,0,28,0,28
2023-05-28T16:09:00,0,28,0,28
2023-05-28T16:20:36,0,28,0,28
2023-05-28T16:32:12,0,28,0,28
2023-05-28T16:43:47,0,28,0,28
2023-05-28T16:55:22,0,28,0,28
2023-05-28T17:06:57,0,28,0,28
2023-05-28T17:18:33,0,28,0,28
2023-05-28T17:30:09,0,28,0,28
2023-05-28T17:41:44,0,28,0,28
2023-05-28T17:53:29,0,28,0,28
2023-05-28T18:05:05,0,28,0,28
2023-05-28T18:16:40,0,28,0,28
2023-05-28T18:28:16,0,28,0,28
2023-05-28T18:39:52,0,28,0,28
2023-05-28T18:51:27,0,28,0,28
2023-05-28T19:03:03,0,28,0,28
2023-05-28T19:14:40,0,28,0,28
2023-05-28T19:26:15,0,28,0,28
2023-05-28T19:37:50,0,28,0,28
2023-05-28T19:49:36,0,28,0,28
2023-05-28T20:01:11,0,28,0,28
2023-05-28T20:12:46,0,28,0,28
2023-05-28T20:24:21,0,28,0,28
2023-05-28T20:35:56,0,28,0,28
2023-05-28T20:47:32,0,28,0,28
2023-05-28T20:59:07,0,28,0,28
2023-05-28T21:10:42,0,28,0,28
2023-05-28T21:22:18,0,28,0,28
2023-05-28T21:34:03,0,28,0,28
2023-05-28T21:45:39,0,28,0,28
2023-05-28T21:57:14,0,28,0,28
2023-05-28T22:08:49,0,28,0,28
2023-05-28T22:20:25,0,28,0,28
2023-05-28T22:32:00,0,28,0,28
2023-05-28T22:43:37,0,28,0,28
2023-05-28T22:55:12,0,28,0,28
2023-05-28T23:07:01,0,28,0,28
2023-05-28T23:18:37,0,28,0,28
2023-05-28T23:30:13,0,28,0,28
2023-05-28T23:41:50,0,28,0,28
2023-05-28T23:53:26,0,28,0,28
2023-05-29T00:05:04,0,28,0,28
2023-05-29T00:16:51,0,28,0,28
2023-05-29T00:28:35,0,28,0,28
2023-05-29T00:40:15,0,28,0,28
2023-05-29T00:51:53,0,28,0,28
2023-05-29T01:03:41,0,28,0,28
2023-05-29T01:15:22,0,28,0,28
2023-05-29T01:27:01,0,28,0,28
2023-05-29T01:38:40,0,28,0,28
2023-05-29T01:50:18,0,28,0,28
2023-05-29T02:01:55,0,28,0,28
2023-05-29T02:13:41,0,28,0,28
2023-05-29T02:25:18,0,28,0,28
2023-05-29T02:36:56,0,28,0,28
2023-05-29T02:48:32,0,28,0,28
2023-05-29T03:00:08,0,28,0,28
2023-05-29T03:11:45,0,28,0,28
2023-05-29T03:23:23,0,28,0,28
2023-05-29T03:35:01,0,28,0,28
2023-05-29T03:46:48,0,28,0,28
2023-05-29T03:58:26,0,28,0,28
2023-05-29T04:10:05,0,28,0,28
2023-05-29T04:32:49,0,28,0,28
2023-05-29T04:45:20,0,28,0,28
2023-05-29T04:57:38,0,28,0,28
2023-05-29T05:09:17,0,28,0,28
2023-05-29T05:20:56,0,28,0,28
2023-05-29T05:32:35,0,28,0,28
2023-05-29T05:44:13,0,28,0,28
2023-05-29T05:55:52,0,28,0,28
2023-05-29T06:07:31,0,28,0,28
2023-05-29T06:19:09,0,28,0,28
2023-05-29T06:30:47,0,28,0,28
2023-05-29T06:42:25,0,28,0,28
2023-05-29T06:54:02,0,28,0,28
2023-05-29T07:05:42,0,28,0,28
2023-05-29T07:17:17,0,28,0,28
2023-05-29T07:29:01,0,28,0,28
2023-05-29T07:40:36,0,28,0,28
2023-05-29T07:52:12,0,28,0,28
2023-05-29T08:03:47,0,28,0,28
2023-05-29T08:15:22,0,28,0,28
2023-05-29T08:26:57,0,28,0,28
2023-05-29T08:38:33,0,28,0,28
2023-05-29T08:50:07,0,28,0,28
2023-05-29T09:01:43,0,28,0,28
2023-05-29T09:13:17,0,28,0,28
2023-05-29T09:24:53,0,28,0,28
2023-05-29T09:36:28,0,28,0,28
2023-05-29T09:48:14,0,28,0,28
2023-05-29T09:59:50,0,28,0,28
2023-05-29T10:11:25,0,28,0,28
2023-05-29T10:23:00,0,28,0,28
2023-05-29T10:34:35,0,28,0,28
2023-05-29T10:46:10,0,28,0,28
2023-05-29T10:57:45,0,28,0,28
2023-05-29T11:09:21,1,27,0,28
2023-05-29T11:21:05,1,27,0,28
2023-05-29T11:32:40,1,27,0,28
2023-05-29T11:44:16,1,27,0,28
2023-05-29T11:55:51,1,27,0,28
2023-05-29T12:07:26,1,27,0,28
